 Count  Overhead File                    Line Function
   217         0 @NCTSSoS/…tion/moment_linear.jl   14 key_lt
   218         0 @NCTSSoS/…mplification/pauli.jl   62 _validate_word(::Type{PauliAlgebr…
   221       221 @Base/sort.jl           837 _sort!(v::Vector{UInt8}, ::Base.S…
   222         0 @StarAlgebras/src/mtables.jl  125 cache!
   223         0 @Base/threadingconstructs.jl  178 (::Base.Threads.var"#threading_ru…
   223         0 @Base/threadingconstructs.jl  246 #cache!##2
   223         0 @Base/threadingconstructs.jl  279 (::StarAlgebras.var"#cache!##2#ca…
   223         0 @StarAlgebras/src/mtables.jl  141 macro expansion
   230       230 @Base/essentials.jl       ? iterate
   232         0 @SymbolicWedderburn/src/sa_basis.jl  193 symmetry_adapted_basis(T::Type, t…
   232         0 @SymbolicWedderburn/…inimal_projections.jl    5 _group_algebra(G::CliffordSymmetr…
   232         0 @StarAlgebras/src/types.jl   35 StarAlgebra
   232         0 @StarAlgebras/src/types.jl   42 #StarAlgebra#12
   232         0 @StarAlgebras/src/mtables.jl  148 complete!
   232         0 @StarAlgebras/src/mtables.jl  138 cache!
   234        42 @NCTSSoS/…mplification/pauli.jl  110 _pauli_product
   238         0 @Base/sort.jl           802 _sort!
   238       183 @NCTSSoS/…mplification/pauli.jl  151 simplify!(::Type{PauliAlgebra}, w…
   238         0 @SymbolicWedderburn/src/image_basis.jl   57 image_basis
   238         0 @SymbolicWedderburn/src/image_basis.jl  122 image_basis!(M::SparseArrays.Spar…
   241         0 @Base/dict.jl           360 setindex!(h::Dict{NormalMonomial{…
   242         0 @Base/Base.jl            76 array_new_memory
   243         1 @Base/iterators.jl      415 iterate
   246       246 @Base/range.jl            ? length(r::StepRange{Int64, Int64})
   246         0 @Compiler/src/typeinfer.jl 1439 typeinf_ext_toplevel
   248         0 @Base/int.jl            542 <<
   248       248 @Base/int.jl            535 <<
   254       254 @Base/abstractarray.jl    ? copyto_unaliased!(deststyle::Inde…
   255       255 @Base/int.jl            378 |
   255         0 @Base/abstractarray.jl  754 checkindex
   256         0 @SparseArrays/src/higherorderfns.jl 1071 copyto!
   256         0 @SparseArrays/src/higherorderfns.jl 1089 _copyto!
   256         0 @SparseArrays/src/higherorderfns.jl 1075 _copyto!
   256         0 @SparseArrays/src/higherorderfns.jl  167 _noshapecheck_map!
   257         0 @NCTSSoS/…imization/symmetry.jl 1868 _chop_polynomial
   257         0 @Base/array.jl          163 vect
   259         0 @Base/abstractdict.jl   527 ==(l::Dict{NormalMonomial{PauliAl…
   259         0 @Base/abstractdict.jl    22 in
   268         0 @Base/array.jl         2110 ==
   269         0 @NCTSSoS/…ptimization/moment.jl  292 _psd_linear_block(::Type{Vector{U…
   269         0 @NCTSSoS/…tion/moment_linear.jl  204 NCTSSoS.PSDBlockLin{Vector{UInt8}…
   270       270 @Base/math.jl           740 _hypot
   279       279 @Base/array.jl         1010 __safe_setindex!
   282         0 @Base/array.jl          372 similar
   282       282 @NCTSSoS/…imization/symmetry.jl    ? _accumulate_reduced_term!(acc::Di…
   285        79 @Base/abstractarray.jl 1091 copyto_unaliased!
   289         0 @Base/threadingconstructs.jl  192 threading_run(fun::StarAlgebras.v…
   290       283 @NCTSSoS/…mplification/pauli.jl  176 simplify!(::Type{PauliAlgebra}, w…
   290         0 @SymbolicWedderburn/src/actions.jl  159 induce(ac::NCTSSoS.NCPauliCliffor…
   290         0 @NCTSSoS/…imization/symmetry.jl 1548 action
   294         0 @Base/array.jl         2109 ==
   294         4 @Base/threadingconstructs.jl  216 macro expansion
